Project ID,Project Name,Project URL,Summary,Project Start,Start Year,Last Updated,Last Updated Year,Update Recency,Start Decade,Modality,Project Home Country/Territory,Location,City,State/Region,Country,Latitude,Longitude,Coordinate Stack Size,Shared Coordinate,Named Contributor Band,Project Type Count,Topic Count,Era Count,Organization Type Count,Contributor Type Count,Leadership Tag Count,Funding Type Count,BIPOC Run,Women Run,Leadership Data Available,Temporal Data Status,Location Detail Status,Project Types,Topics,Eras Studied,Organization Types,Contributor Roles,Leadership Classifications,Funding Resources
bdph_0469,The Library of Missing Datasets,https://mimionuoha.com/the-library-of-missing-datasets,The Library of Missing Datasets is a physical repository of those things that have been excluded in a society where so much is collected.,2016,2016,2018,2018,Last update before 2020,2010s,Digital,United States,"Brooklyn, New York",Brooklyn,N/A,N/A,40.6781784,-73.9441579,3,Yes,1-5,2,2,2,1,1,2,1,Yes,Yes,Yes,Complete,Needs location detail review,Data Mining/Mapping/Visualization; Digital Collections/Databases/Archives,Black People - Race Identity; Black Visual and Performance Art,20th Century; 21st Century,Independent Scholar/Individual Research,Digital/Design Professionals,BIPOC Run; Women Run,Grants/Awards (Private: Foundations/Charities)
bdph_0470,"Black Power in Washington, D.C. 1961-1998",https://experience.arcgis.com/experience/5e17e7d1c4a8406b9eaf26a4eae77103/,Black Power in Washington D.C. plots Black Power activism in the District between the years 1961 and 1998.,2021,2021,2021,2021,Updated 2020-2022,2020s,Digital,United States,"Baltimore, Maryland",Baltimore,N/A,N/A,39.2905023,-76.6104072,7,Yes,1-5,2,2,1,1,1,1,1,Yes,No,Yes,Complete,Needs location detail review,Data Mining/Mapping/Visualization; Educational Resources,Black Activism/Advocacy; Civil Rights Movement/Black Power,20th Century,Minority Serving Institution (Graduate),Faculty,BIPOC Run,Grants/Awards (Institutional/Internal)
bdph_0471,Forever Gwen Brooks,https://www.forevergwenbrooks.com/,"This project replaces, at random, parts of speech (adjectives, nouns, pronouns) from Gwendolyn Brooks' poem “An Aspect of Love, Alive in the Ice and Fire” from her 1969 book RIOT.",2022,2022,2022,2022,Updated 2020-2022,2020s,Digital,United States,"College Park, Maryland",College Park,N/A,N/A,38.9896967,-76.93776,2,Yes,1-5,2,1,1,1,1,1,1,No,No,No,Complete,Needs location detail review,Art and Performance; Data Mining/Mapping/Visualization,Black Literature,20th Century,Independent Scholar/Individual Research,Faculty,Data Not Available,Other/Unknown
bdph_0472,Black Community Newspapers of Flint,https://quod.lib.umich.edu/b/blackcommunitynews/,The Black Community Newspapers collection offers a glimpse into the Black community of Flint. It spans the end of World War II and the beginning of the Civil Rights Era.,45370,2024,45370,2024,Updated 2023-2024,2020s,Digital,United States,University of Michigan Flint,University of Michigan Flint,N/A,N/A,43.0194791,-83.6894611,1,No,Unspecified,2,4,1,1,1,1,1,No,No,Yes,Complete,Needs location detail review,Digital Collections/Databases/Archives; Local History & Local Places,Black Activism/Advocacy; Black Communities/Urban Renewal; Civil Rights Movement/Black Power; Newspapers/Periodicals/Black Press,20th Century,University Library,Library Professionals,Not Minority Run,Institutional Operating Budget (Internal)
bdph_0473,"Reflector Collection, 1965-1975",https://scholarsjunction.msstate.edu/ua-reflectors-1965-1975/,"This collection, which was a collaboration between the University Archivist and Black alumni, includes articles and images from the Reflector, Mississippi State University’s student newspaper. It represents the first ten years after integration at MSU. The collection includes articles highlighting MSU Black student organizations, efforts to recruit students and faculty of color, MSU’s first Black student athletes, and notable speakers on campus.",45078,2023,45352,2024,Updated 2023-2024,2020s,Digital,United States,Mississippi State University,Mississippi State University,N/A,N/A,33.4555279,-88.7903868,1,No,Unspecified,1,14,1,1,3,1,1,No,Yes,Yes,Complete,Needs location detail review,Digital Collections/Databases/Archives,Black Activism/Advocacy; Black Communities/Urban Renewal; Black Education/Black Students; Black Music; Black People - Race Identity; Black Studies; Black Visual and Performance Art; Black Women/Feminism; Civil Rights Movement/Black Power; Digital Humanities; Newspapers/Periodicals/Black Press; Race Relations/Racial Inequality/Racism; Segregation; U.S. History,20th Century,University Library,Community Members; Faculty; Graduate Students,Women Run,Institutional Operating Budget (Internal)
bdph_0474,BLACK MEME,https://externalpages.org/#legacyrussell,"BLACK MEME is a “video essay” in an interactive digital space, which explores questions of black visual culture from 1900 to the present day.",2020,2020,2020,2020,Updated 2020-2022,2020s,Digital,United States,"New York City, New York",New York City,N/A,N/A,40.7127753,-74.0059728,12,Yes,1-5,2,2,2,1,1,1,1,No,No,No,Complete,Needs location detail review,Art and Performance; Exhibits & Digital Storytelling,Black People - Race Identity; Black Visual and Performance Art,20th Century; 21st Century,Independent Scholar/Individual Research,Digital/Design Professionals,Data Not Available,Other/Unknown
bdph_0475,Lynching in Texas,https://www.lynchingintexas.org/,"This website, created by Jeffrey L. Littlejohn, represents an ongoing effort to document the lynchings that occurred in Texas between 1882 and 1945.",2018,2018,2024,2024,Updated 2023-2024,2010s,Digital,United States,Sam Houston State University,Sam Houston State University,N/A,N/A,30.7132435,-95.5503803,1,No,51+,2,2,2,1,2,1,2,No,No,No,Complete,Needs location detail review,Digital Collections/Databases/Archives; Local History & Local Places,Lynching/Race Riots/Police Brutality; Segregation,19th Century; 20th Century,PWI (Graduate),Faculty; Graduate Students,Data Not Available,Grants/Awards (Institutional/Internal); Grants/Awards (Public: State or Local)
bdph_0476,Eileen Southern and the Music of Black Americans,https://eileensouthern.omeka.fas.harvard.edu/,"Eileen Southern and the Music of Black Americans is a digital exhibit centered on Eileen Jackson Southern (1920-2002), an extraordinary scholar whose landmark book The Music of Black Americans (W. W. Norton, 1st edition 1971) inspired the academic subfield of Black music studies.",2019,2019,2022,2022,Updated 2020-2022,2010s,Digital,United States,"Harvard, Massachusetts",Harvard,N/A,N/A,42.5000919,-71.5828444,1,No,26-50,2,4,1,1,3,1,2,No,No,No,Complete,Needs location detail review,Digital Collections/Databases/Archives; Educational Resources,Black Education/Black Students; Black Music; Black Women/Feminism; Historical Figure,20th Century,PWI (Graduate),Faculty; Fellows and/or Postdocs; Graduate Students,Data Not Available,Grants/Awards (Institutional/Internal); Grants/Awards (Professional Organizations)
bdph_0477,Medicine | Race | Democracy Lab,https://www.mrdlab.org/,"The Medicine | Race | Democracy Lab examines health care between and beyond hospitals to assess, understand, and confront issues in medical racism and access.",2023,2023,2023,2023,Updated 2023-2024,2020s,Digital,United States,"6100 Main St, Houston, TX 77005",N/A,TX,USA,29.7201306,-95.4018157,4,Yes,26-50,2,3,3,1,3,1,2,No,No,No,Complete,Needs location detail review,Digital Publishing & Digital Editions; Events/Programming,African History; Black Education/Black Students; Black People - Race Identity,19th Century; 20th Century; 21st Century,Community Group,Faculty; Fellows and/or Postdocs; Graduate Students,Data Not Available,Grants/Awards (Institutional/Internal); Grants/Awards (Private: Foundations/Charities)
bdph_0478,Black Health and the Humanities,https://www.blackhealthandhumanities.org/,"This Wellcome Trust-funded network is a community of scholars from a range of disciplinary and institutional backgrounds, whose research is broadly situated in the field of Black health to address issues related to racism in healthcare.",44105,2020,44881,2022,Updated 2020-2022,2020s,Digital,United Kingdom,"Bristol University, Bristol",Bristol University,N/A,N/A,51.4585376,-2.6021758,1,No,11-25,2,3,1,1,2,1,1,No,No,No,Complete,Needs location detail review,Digital Publishing & Digital Editions; Events/Programming,Black Activism/Advocacy; Black Education/Black Students; Black Studies,21st Century,PWI (Graduate),Faculty; Graduate Students,Data Not Available,Grants/Awards (Private: Corporate/Individual Sponsors)
